date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:47	2280/2280	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2272fe2dfb4a6f6c874b140c36a0593bce%22	https://cybersecurity-portfolio-gules.vercel.app/robots.txt		(from )
16:06:47	120040/120040	---MCZ	200	added ('OK')	text/html	etag:W/%229d3a120acfe787ac20b1ce2cb7c21265%22	https://cybersecurity-portfolio-gules.vercel.app/	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/index.html	(from )
16:06:47	283550/283550	---MCZ	200	added ('OK')	text/css	etag:W/%2259c7d9ca61375fffbdc10b1ceb0d3b60%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/css/6c498d5c6b7238af.css?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/css/6c498d5c6b7238afbece.css	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:47	3811/3811	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f8290538790691de2948001f3b574e42%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/webpack-9edee2920554d0a5.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/webpack-9edee2920554d0a5bece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:47	168413/168413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2297686290ec158ceac734d986fde6ff95%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/4bd1b696-ad45a0d75f1c7ab5.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/4bd1b696-ad45a0d75f1c7ab5bece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:48	175289/175289	---MCZ	200	added ('OK')	application/javascript	etag:W/%22002a6545e141e527ecb99631d70d8d75%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/684-d2cd29ed4d932d63.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/684-d2cd29ed4d932d63bece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:48	518/518	---M--	200	added ('OK')	application/javascript	etag:%222de71260b245e8b570267eae79b57e08%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/main-app-b8b88b0914fccdba.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/main-app-b8b88b0914fccdbabece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:48	3411/3411	---MCZ	200	added ('OK')	application/javascript	etag:W/%228baac177fc980f4a046b1bcf41e16835%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/app/layout-18083bc2c5826f73.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/app/layout-18083bc2c5826f73bece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:48	151395/151395	---MCZ	200	added ('OK')	application/javascript	etag:W/%228710abea24f83d6ad99b93b268fcf066%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/814-19d078ba0919848d.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/814-19d078ba0919848dbece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
16:06:49	44423/44423	---MCZ	200	added ('OK')	application/javascript	etag:W/%222524e41297d8ad60422c4547cb2c47cd%22	https://cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/app/page-c80e70c694f5fd12.js?dpl=dpl_AyxZifSXURtVF8pDZAtMchaHgDFg	C:/My%20Web%20Sites/kacvinsky.work/cybersecurity-portfolio-gules.vercel.app/_next/static/chunks/app/page-c80e70c694f5fd12bece.js	(from https://cybersecurity-portfolio-gules.vercel.app/)
